Season,LocationID,EventID,SamplingGear,ChannelType,SamplingEffort_sec,NoSeineHauls,SeineReachLength_m,ReachLength_m,StreamWatershedArea_sqkm,DETimeStamp
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,backpack,main,2134,,,150,10,12/12/2018
2006,BUFFRMFISHBT30,BUFFRMFISH2006JUN06,backpack,backwater_side,292,,,150,29,12/12/2018
2006,BUFFRMFISHBT30,BUFFRMFISH2006JUN06,backpack,main,2958,,,150,29,12/12/2018
2006,BUFFRMFISHBT31,BUFFRMFISH2006JUN06,backpack,backwater_side,138,,,150,33,12/12/2018
2006,BUFFRMFISHBT31,BUFFRMFISH2006JUN06,backpack,main,2750,,,150,33,12/12/2018
2007,BUFFRMFISHBM01,BUFFRMFish2007May22,backpack,backwater_side,3132,,,290,238,12/12/2018
2007,BUFFRMFISHBM01,BUFFRMFish2007May22,backpack,main,1608,,,290,238,12/12/2018
2007,BUFFRMFISHBM01,BUFFRMFish2007May22,barge,main,1695,,,290,238,12/12/2018
2007,BUFFRMFISHBM01,BUFFRMFish2007May22,boat,main,2101,,,290,238,12/12/2018
2007,BUFFRMFISHBM02,BUFFRMFish2007May23,backpack,main,2288,,,440,566,12/12/2018
2007,BUFFRMFISHBM02,BUFFRMFish2007May23,boat,main,5049,,,440,566,12/12/2018
2007,BUFFRMFISHBM03,BUFFRMFish2007May30,backpack,main,4791,,,600,1274,12/12/2018
2007,BUFFRMFISHBM03,BUFFRMFish2007May30,boat,main,7523,,,600,1274,12/12/2018
2007,BUFFRMFISHBM04,BUFFRMFish2007May31,barge,main,3127,,,620,1975,12/12/2018
2007,BUFFRMFISHBM04,BUFFRMFish2007May31,boat,main,6894,,,620,1975,12/12/2018
2007,BUFFRMFISHBM05,BUFFRMFish2007Jun20,backpack,main,3485,,,560,2478,12/12/2018
2007,BUFFRMFISHBM05,BUFFRMFish2007Jun20,boat,backwater_side,604,,,560,2478,12/12/2018
2007,BUFFRMFISHBM05,BUFFRMFish2007Jun20,boat,main,7013,,,560,2478,12/12/2018
2007,BUFFRMFISHBM06,BUFFRMFish2007Jun04,backpack,main,2873,,,726,2988,12/12/2018
2007,BUFFRMFISHBM06,BUFFRMFish2007Jun04,boat,main,5603,,,726,2988,12/12/2018
2007,BUFFRMFISHBT05,BUFFRMFish2007May21,backpack,main,2688,,,232,59,12/12/2018
2007,BUFFRMFISHBT07,BUFFRMFish2007May25,barge,main,2835,,,180,55,12/12/2018
2007,BUFFRMFISHBT12,BUFFRMFish2007May29,backpack,main,2608,,,150,8,12/12/2018
2007,BUFFRMFISHBT21,BUFFRMFish2007Jun01,backpack,main,2120,,,150,52,12/12/2018
2007,BUFFRMFISHBT25,BUFFRMFish2007Jun06,backpack,main,1939,,,150,17,12/12/2018
2007,BUFFRMFISHBT33,BUFFRMFish2007Jun05,backpack,main,2533,,,150,7,12/12/2018
2008,BUFFRMFISHBM01,BUFFRMFish2008May20,backpack,backwater_side,3166,,,290,238,12/12/2018
2008,BUFFRMFISHBM01,BUFFRMFish2008May20,barge,main,2197,,,290,238,12/12/2018
2008,BUFFRMFISHBM01,BUFFRMFish2008May20,boat,main,3235,,,290,238,12/12/2018
2008,BUFFRMFISHBM02,BUFFRMFish2008May22,backpack,main,2210,,,440,566,12/12/2018
2008,BUFFRMFISHBM02,BUFFRMFish2008May22,boat,main,5166,,,440,566,12/12/2018
2008,BUFFRMFISHBM03,BUFFRMFish2008Jun03,backpack,backwater_side,416,,,600,1274,12/12/2018
2008,BUFFRMFISHBM03,BUFFRMFish2008Jun03,backpack,main,775,,,600,1274,12/12/2018
2008,BUFFRMFISHBM03,BUFFRMFish2008Jun03,boat,main,5348,,,600,1274,12/12/2018
2008,BUFFRMFISHBM04,BUFFRMFish2008Jun04,barge,main,3788,,,620,1975,12/12/2018
2008,BUFFRMFISHBM04,BUFFRMFish2008Jun04,boat,main,6311,,,620,1975,12/12/2018
2008,BUFFRMFISHBM05,BUFFRMFish2008Jun05,backpack,main,730,,,560,2478,12/12/2018
2008,BUFFRMFISHBM05,BUFFRMFish2008Jun05,boat,main,2317,,,560,2478,12/12/2018
2008,BUFFRMFISHBM06,BUFFRMFish2008Jun18,backpack,main,4486,,,726,2988,12/12/2018
2008,BUFFRMFISHBM06,BUFFRMFish2008Jun18,boat,main,5492,,,726,2988,12/12/2018
2008,BUFFRMFISHBT04,BUFFRMFish2008May21,backpack,main,2790,,,150,12,12/12/2018
2008,BUFFRMFISHBT13,BUFFRMFish2008May23,barge,main,3708,,,226,232,12/12/2018
2008,BUFFRMFISHBT15,BUFFRMFish2008May28,backpack,main,2678,,,200,72,12/12/2018
2008,BUFFRMFISHBT16,BUFFRMFish2008May27,backpack,main,2053,,,150,10,12/12/2018
2008,BUFFRMFISHBT19,BUFFRMFish2008May19,barge,main,3336,,,165,128,12/12/2018
2008,BUFFRMFISHBT28,BUFFRMFish2008Jun18,backpack,main,2147,,,150,10,12/12/2018
2009,BUFFRMFISHBM01,BUFFRMFish2009May27,backpack,backwater_side,2128,,,290,238,12/12/2018
2009,BUFFRMFISHBM01,BUFFRMFish2009May27,barge,main,1762,,,290,238,12/12/2018
2009,BUFFRMFISHBM01,BUFFRMFish2009May27,boat,main,2862,,,290,238,12/12/2018
2009,BUFFRMFISHBM02,BUFFRMFish2009May28,backpack,main,3287,,,440,566,12/12/2018
2009,BUFFRMFISHBM02,BUFFRMFish2009May28,boat,main,5513,,,440,566,12/12/2018
2009,BUFFRMFISHBM03,BUFFRMFish2009Jun03,backpack,main,3265,,,600,1274,12/12/2018
2009,BUFFRMFISHBM03,BUFFRMFish2009Jun03,boat,main,7323,,,600,1274,12/12/2018
2009,BUFFRMFISHBM04,BUFFRMFish2009Jun08,barge,main,3576,,,620,1975,12/12/2018
2009,BUFFRMFISHBM04,BUFFRMFish2009Jun08,boat,main,6913,,,620,1975,12/12/2018
2009,BUFFRMFISHBM05,BUFFRMFish2009Jun09,backpack,backwater_side,1318,,,560,2478,12/12/2018
2009,BUFFRMFISHBM05,BUFFRMFish2009Jun09,backpack,main,2133,,,560,2478,12/12/2018
2009,BUFFRMFISHBM05,BUFFRMFish2009Jun09,boat,main,6790,,,560,2478,12/12/2018
2009,BUFFRMFISHBM06,BUFFRMFish2009Jun10,backpack,main,2795,,,726,2988,12/12/2018
2009,BUFFRMFISHBM06,BUFFRMFish2009Jun10,boat,main,6182,,,726,2988,12/12/2018
2009,BUFFRMFISHBT01,BUFFRMFish2009May19,backpack,main,1276,,,150,22,12/12/2018
2009,BUFFRMFISHBT06,BUFFRMFish2009May19,backpack,main,1510,,,150,6,12/12/2018
2009,BUFFRMFISHBT10,BUFFRMFish2009May20,backpack,main,2051,,,150,31,12/12/2018
2009,BUFFRMFISHBT11,BUFFRMFish2009May20,backpack,main,2343,,,150,16,12/12/2018
2009,BUFFRMFISHBT20,BUFFRMFish2009May21,barge,main,6735,,,450,238,12/12/2018
2009,BUFFRMFISHBT23,BUFFRMFish2009May26,backpack,main,2309,,,150,99,12/12/2018
2010,BUFFRMFISHBM01,BUFFRMFish2010May27,backpack,backwater_side,1861,,,290,238,12/12/2018
2010,BUFFRMFISHBM01,BUFFRMFish2010May27,barge,main,1860,,,290,238,12/12/2018
2010,BUFFRMFISHBM01,BUFFRMFish2010May27,boat,main,2512,,,290,238,12/12/2018
2010,BUFFRMFISHBM02,BUFFRMFish2010May26,backpack,main,2032,,,440,566,12/12/2018
2010,BUFFRMFISHBM02,BUFFRMFish2010May26,boat,main,4758,,,440,566,12/12/2018
2010,BUFFRMFISHBM03,BUFFRMFish2010Jun01,backpack,main,2289,,,600,1274,12/12/2018
2010,BUFFRMFISHBM03,BUFFRMFish2010Jun01,boat,main,5933,,,600,1274,12/12/2018
2010,BUFFRMFISHBM04,BUFFRMFish2010Jun03,barge,main,4218,,,620,1975,12/12/2018
2010,BUFFRMFISHBM04,BUFFRMFish2010Jun03,boat,main,3760,,,620,1975,12/12/2018
2010,BUFFRMFISHBM05,BUFFRMFish2010Jun02,backpack,main,1918,,,560,2478,12/12/2018
2010,BUFFRMFISHBM05,BUFFRMFish2010Jun02,boat,main,3780,,,560,2478,12/12/2018
2010,BUFFRMFISHBM06,BUFFRMFish2010Jun09,backpack,main,2666,,,726,2988,12/12/2018
2010,BUFFRMFISHBM06,BUFFRMFish2010Jun09,boat,main,6080,,,726,2988,12/12/2018
2010,BUFFRMFISHBT08,BUFFRMFish2010May17,backpack,main,1003,,,150,4,12/12/2018
2010,BUFFRMFISHBT14,BUFFRMFish2010May18,backpack,main,2000,,,150,12,12/12/2018
2010,BUFFRMFISHBT17,BUFFRMFish2010Jun23,backpack,main,3200,,,460,312,12/12/2018
2010,BUFFRMFISHBT17,BUFFRMFish2010Jun23,boat,main,4054,,,460,312,12/12/2018
2010,BUFFRMFISHBT27,BUFFRMFish2010Jun08,backpack,main,3823,,,180,69,12/12/2018
2010,BUFFRMFISHBT29,BUFFRMFish2010Jun10,backpack,main,6044,,,370,347,12/12/2018
2010,BUFFRMFISHBT32,BUFFRMFish2010Jun11,backpack,main,1119,,,150,9,12/12/2018
2012,BUFFRMFISHBT15,BUFFRMFish2012May22,backpack,main,2494,,,200,72,12/12/2018
2012,BUFFRMFISHBT20,BUFFRMFish2012May22,barge,main,5850,,,450,238,12/12/2018
2012,BUFFRMFISHBT27,BUFFRMFish2012May21,backpack,main,2904,,,180,69,12/12/2018
2013,BUFFRMFISHBM01,BUFFRMFish2013May29,backpack,backwater_side,1840,,,290,238,12/12/2018
2013,BUFFRMFISHBM01,BUFFRMFish2013May29,barge,main,1380,,,290,238,12/12/2018
2013,BUFFRMFISHBM01,BUFFRMFish2013May29,boat,main,2437,,,290,238,12/12/2018
2013,BUFFRMFISHBM02,BUFFRMFish2013May28,backpack,main,2911,,,440,566,12/12/2018
2013,BUFFRMFISHBM02,BUFFRMFish2013May28,boat,main,5329,,,440,566,12/12/2018
2013,BUFFRMFISHBM03,BUFFRMFish2013Jun19,backpack,main,2960,,,600,1274,12/12/2018
2013,BUFFRMFISHBM03,BUFFRMFish2013Jun19,boat,main,6045,,,600,1274,12/12/2018
2013,BUFFRMFISHBM04,BUFFRMFish2013Jun17,barge,main,2260,,,620,1975,12/12/2018
2013,BUFFRMFISHBM04,BUFFRMFish2013Jun17,boat,main,4788,,,620,1975,12/12/2018
2013,BUFFRMFISHBM05,BUFFRMFish2013Jun18,backpack,main,2261,,,560,2478,12/12/2018
2013,BUFFRMFISHBM05,BUFFRMFish2013Jun18,boat,main,3934,,,560,2478,12/12/2018
2013,BUFFRMFISHBM06,BUFFRMFish2013Jun11,backpack,main,2647,,,726,2988,12/12/2018
2013,BUFFRMFISHBM06,BUFFRMFish2013Jun11,boat,main,5876,,,726,2988,12/12/2018
2013,BUFFRMFISHBT07,BUFFRMFish2013May21,barge,main,3630,,,180,55,12/12/2018
2013,BUFFRMFISHBT15,BUFFRMFish2013May20,backpack,main,3279,,,200,72,12/12/2018
2013,BUFFRMFISHBT19,BUFFRMFish2013Jun06,barge,main,2435,,,165,128,12/12/2018
2013,BUFFRMFISHBT20,BUFFRMFish2013Jun10,barge,main,7347,,,450,238,12/12/2018
2013,BUFFRMFISHBT27,BUFFRMFish2013May20,backpack,main,2508,,,180,69,12/12/2018
2013,BUFFRMFISHBT30,BUFFRMFish2013Jun12,backpack,main,1698,,,150,29,12/12/2018
2013,BUFFRMFISHBT31,BUFFRMFish2013Jun12,backpack,main,2212,,,150,33,12/12/2018
2015,BUFFRMFISHBM01,BUFFrmfish2015Jun05,Backpack,side channel,3235,,,290,238,12/12/2018
2015,BUFFRMFISHBM01,BUFFrmfish2015Jun05,Barge,main,2684,,,290,238,12/12/2018
2015,BUFFRMFISHBM01,BUFFrmfish2015Jun05,Boat,main,2297,,,290,238,12/12/2018
2015,BUFFRMFISHBM02,BUFFrmfish2015Jun09,Backpack,main,1654,,,440,566,12/12/2018
2015,BUFFRMFISHBM02,BUFFrmfish2015Jun09,Boat,main,3905,,,440,566,12/12/2018
2015,BUFFRMFISHBM03,BUFFrmfish2015Jun30,Backpack,backwater_main,617,,,600,1274,12/12/2018
2015,BUFFRMFISHBM03,BUFFrmfish2015Jun30,Backpack,main,1668,,,600,1274,12/12/2018
2015,BUFFRMFISHBM03,BUFFrmfish2015Jun30,Boat,main,4057,,,600,1274,12/12/2018
2015,BUFFRMFISHBM04,BUFFrmfish2015Jul01,Barge,main,3530,,,620,1975,12/12/2018
2015,BUFFRMFISHBM04,BUFFrmfish2015Jul01,Boat,main,3764,,,620,1975,12/12/2018
2015,BUFFRMFISHBT05,BUFFrmfish2015Jun03,Backpack,main,5951,,,232,59,12/12/2018
2015,BUFFRMFISHBT07,BUFFrmfish2015May22,Barge,main,2969,,,180,55,12/12/2018
2015,BUFFRMFISHBT09,BUFFrmfish2015Jun10,Backpack,main,1776,,,260,371,12/12/2018
2015,BUFFRMFISHBT09,BUFFrmfish2015Jun10,Boat,main,1749,,,260,371,12/12/2018
2015,BUFFRMFISHBT15,BUFFrmfish2015May28,Backpack,main,2849,,,200,72,12/12/2018
2015,BUFFRMFISHBT19,BUFFrmfish2015May29,Barge,main,3185,,,165,128,12/12/2018
2015,BUFFRMFISHBT20,BUFFrmfish2015Jun15,Barge,main,6899,,,450,238,12/12/2018
2015,BUFFRMFISHBT23,BUFFrmfish2015Jun04,Backpack,main,2499,,,150,99,12/12/2018
2017,BUFFRMFISHBM01,BUFFRMFISH2017May31,Backpack,backwater_side,1639,,,290,238,12/12/2018
2017,BUFFRMFISHBM01,BUFFRMFISH2017May31,Barge,main,2807,,,290,238,12/12/2018
2017,BUFFRMFISHBM01,BUFFRMFISH2017May31,Boat,main,2528,,,290,238,12/12/2018
2017,BUFFRMFISHBM02,BUFFRMFISH2017Jun01,Backpack,main,2078,,,440,566,12/12/2018
2017,BUFFRMFISHBM02,BUFFRMFISH2017Jun01,Boat,main,2750,,,440,566,12/12/2018
2017,BUFFRMFISHBM03,BUFFRMFISH2017Jun02,Backpack,main,1758,,,600,1274,12/12/2018
2017,BUFFRMFISHBM03,BUFFRMFISH2017Jun02,Boat,main,5050,,,600,1274,12/12/2018
2017,BUFFRMFISHBM04,BUFFRMFISH2017Jun15,Barge,main,2520,,,620,1975,12/12/2018
2017,BUFFRMFISHBM04,BUFFRMFISH2017Jun15,Boat,main,3420,,,620,1975,12/12/2018
2017,BUFFRMFISHBM05,BUFFRMFISH2017Jun14,Backpack,backwater_main,826,,,560,2478,12/12/2018
2017,BUFFRMFISHBM05,BUFFRMFISH2017Jun14,Backpack,main,1201,,,560,2478,12/12/2018
2017,BUFFRMFISHBM05,BUFFRMFISH2017Jun14,Boat,main,3399,,,560,2478,12/12/2018
2017,BUFFRMFISHBM06,BUFFRMFISH2017Jun21,Backpack,main,2212,,,726,2988,12/12/2018
2017,BUFFRMFISHBM06,BUFFRMFISH2017Jun21,Boat,main,4232,,,726,2988,12/12/2018
2017,BUFFRMFISHBT07,BUFFRMFISH2017May24,Barge,main,2778,,,180,55,12/12/2018
2017,BUFFRMFISHBT15,BUFFRMFISH2017May24,Backpack,main,2666,,,200,72,12/12/2018
2017,BUFFRMFISHBT19,BUFFRMFISH2017May25,Barge,main,2458,,,165,128,12/12/2018
2017,BUFFRMFISHBT20,BUFFRMFISH2017May30,Barge,main,7061,,,450,238,12/12/2018
2017,BUFFRMFISHBT27,BUFFRMFISH2017Jun13,Backpack,main,1800,,,180,69,12/12/2018
2017,BUFFRMFISHBT30,BUFFRMFISH2017Jun22,Backpack,main,2393,,,150,29,12/12/2018
2017,BUFFRMFISHBT31,BUFFRMFISH2017Jun22,Backpack,main,1617,,,150,33,12/12/2018
2019,BUFFRMFISHBM01,BUFFRMFISH2019May23,backpack,side channel,1989,,,290,238,3/27/2020
2019,BUFFRMFISHBM01,BUFFRMFISH2019May23,barge,main,1854,,,290,238,3/27/2020
2019,BUFFRMFISHBM01,BUFFRMFISH2019May23,boat,main,2447,,,290,238,3/27/2020
2019,BUFFRMFISHBM02,BUFFRMFISH2019Jun12,backpack,main,2299,,,440,566,3/27/2020
2019,BUFFRMFISHBM02,BUFFRMFISH2019Jun12,boat,main,2992,,,440,566,3/27/2020
2019,BUFFRMFISHBM03,BUFFRMFISH2019Jun14,backpack,main,1384,,,600,1274,3/31/2020
2019,BUFFRMFISHBM03,BUFFRMFISH2019Jun14,boat,main,5039,,,600,1274,3/31/2020
2019,BUFFRMFISHBM04,BUFFRMFISH2019Jun19,barge,main,3120,,,620,1975,4/6/2020
2019,BUFFRMFISHBM04,BUFFRMFISH2019Jun19,boat,main,2525,,,620,1975,4/6/2020
2019,BUFFRMFISHBM05,BUFFRMFISH2019Jun18,backpack,main,1204,,,560,2478,4/6/2020
2019,BUFFRMFISHBM05,BUFFRMFISH2019Jun18,boat,main,3726,,,560,2478,4/6/2020
2019,BUFFRMFISHBM06,BUFFRMFISH2019Jun20,backpack,main,2175,,,726,2988,4/6/2020
2019,BUFFRMFISHBM06,BUFFRMFISH2019Jun20,boat,main,4067,,,726,2988,4/6/2020
2019,BUFFRMFISHBT05,BUFFRMFISH2019Jun05,backpack,main,4023,,,232,59,4/9/2020
2019,BUFFRMFISHBT07,BUFFRMFISH2019May22,barge,main,2140,,,180,55,4/6/2020
2019,BUFFRMFISHBT09,BUFFRMFISH2019Jun12,backpack,main,1595,,,260,371,4/7/2020
2019,BUFFRMFISHBT09,BUFFRMFISH2019Jun12,boat,main,2188,,,260,371,4/7/2020
2019,BUFFRMFISHBT15,BUFFRMFISH2019Jun06,backpack,main,5177,,,200,72,4/8/2020
2019,BUFFRMFISHBT19,BUFFRMFISH2019May24,barge,main,2881,,,165,128,4/8/2020
2019,BUFFRMFISHBT20,BUFFRMFISH2019May28,barge,main,6300,,,450,238,4/9/2020
2019,BUFFRMFISHBT23,BUFFRMFISH2019Jun17,backpack,main,1732,,,150,99,4/9/2020
2021,BUFFRMFISHBT07,BUFFRMFISH2021May18,barge,main,2658,,,180,55,9/9/2021
2021,BUFFRMFISHBT15,BUFFRMFISH2021May17,backpack,main,2185,,,200,72,9/3/2021
2021,BUFFRMFISHBT19,BUFFRMFISH2021Jun09,barge,main,4158,,,165,128,9/3/2021
2021,BUFFRMFISHBT20,BUFFRMFISH2021Jun16,barge,main,5335,,,450,238,9/3/2021
2021,BUFFRMFISHBT27,BUFFRMFISH2021May24,backpack,main,3038,,,180,69,9/7/2021
2021,BUFFRMFISHBT30,BUFFRMFISH2021Jun10,backpack,main,1884,,,150,29,9/2/2021
2021,BUFFRMFISHBT31,BUFFRMFISH2021Jun11,backpack,main,2203,,,150,33,9/10/2021
2023,BUFFRMFISHBM01,BUFFRMFISH2023May24,backpack,side channel,1500,,,290,238,6/29/2023
2023,BUFFRMFISHBM01,BUFFRMFISH2023May24,barge,main,2067,,,290,238,6/29/2023
2023,BUFFRMFISHBM01,BUFFRMFISH2023May24,boat,main,2969,,,290,238,6/29/2023
2023,BUFFRMFISHBM03,BUFFRMFISH2023May25,backpack,main,2243,,,600,1274,6/29/2023
2023,BUFFRMFISHBM03,BUFFRMFISH2023May25,boat,main,6124,,,600,1274,6/29/2023
2023,BUFFRMFISHBM04,BUFFRMFISH2023Jun01,backpack,main,3532,,,620,1975,6/29/2023
2023,BUFFRMFISHBM04,BUFFRMFISH2023Jun01,boat,main,5608,,,620,1975,6/29/2023
2023,BUFFRMFISHBM05,BUFFRMFISH2023Jun07,backpack,main,2530,,,560,2478,6/30/2023
2023,BUFFRMFISHBM05,BUFFRMFISH2023Jun07,boat,main,4313,,,560,2478,6/30/2023
2023,BUFFRMFISHBM06,BUFFRMFISH2023Jun14,backpack,main,2910,,,726,2988,6/30/2023
2023,BUFFRMFISHBM06,BUFFRMFISH2023Jun14,boat,main,4383,,,726,2988,6/30/2023
2023,BUFFRMFISHBT05,BUFFRMFISH2023Jun02,backpack,main,3467,,,232,59,7/5/2023
2023,BUFFRMFISHBT07,BUFFRMFISH2023May23,barge,main,2833,,,180,55,7/5/2023
2023,BUFFRMFISHBT15,BUFFRMFISH2023May26,backpack,main,4218,,,200,72,7/5/2023
2023,BUFFRMFISHBT19,BUFFRMFISH2023May30,barge,main,3742,,,165,128,7/5/2023
2023,BUFFRMFISHBT20,BUFFRMFISH2023May31,barge,main,6649,,,450,238,7/5/2023
2023,BUFFRMFISHBT23,BUFFRMFISH2023Jun06,backpack,main,2241,,,150,99,7/6/2023
