Season,LocationID,EventID,ChannelType,TransectNumber,SampleLocation,BankAngle,BankVegCover,BankHeight,BankSubstrate,LargeTrees,SmTreesShrubs,GrassForbes,BareRockSediment,Artificial,Comment,DETimeStamp
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,8,R,3,3,5,10,1,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,9,L,2,1,1,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,9,R,3,3,5,2,1,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,10,L,3,1,2,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,10,R,3,2,5,2,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,11,L,3,3,5,2,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,11,R,3,3,5,2,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,1,L,2,3,3,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,1,R,2,1,3,5,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,2,L,2,2,5,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,2,R,2,2,4,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,3,L,2,3,3,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,3,R,3,2,3,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,4,L,2,2,5,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,4,R,2,2,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,5,L,3,2,3,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,5,R,2,2,5,1,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,6,L,2,4,2,10,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,6,R,3,2,5,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,7,L,2,3,4,10,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,7,R,3,2,4,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,8,L,3,2,5,2,0,1,1,1,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,8,R,3,2,5,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,9,L,3,3,5,1,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,9,R,3,1,4,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,10,L,3,3,4,1,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,10,R,3,1,4,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,11,L,3,1,5,2,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,11,R,3,2,4,5,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,1,L,2,3,2,10,0,1,0,1,0,,1/14/2019
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,1,R,3,1,5,5,0,1,0,0,0,,1/14/2019
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,2,L,2,1,5,5,0,1,0,0,0,,1/14/2019
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,2,R,3,1,5,5,0,1,0,0,0,,1/14/2019
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,3,L,2,1,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,3,R,3,2,5,5,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,4,L,2,2,3,2,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,4,R,2,1,3,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,5,L,2,2,4,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,5,R,3,1,3,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,6,L,2,3,3,5,1,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,6,R,2,1,2,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,7,L,3,4,5,1,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,7,R,2,2,2,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,8,L,3,4,5,1,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,8,R,2,1,2,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,9,L,3,4,5,1,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,9,R,2,1,3,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,10,L,2,1,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,10,R,3,1,2,5,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,11,L,2,1,5,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,11,R,3,1,2,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,1,L,1,2,2,2,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,1,R,3,2,4,5,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,2,L,1,2,2,10,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,2,R,3,2,4,5,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,3,L,1,1,2,10,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,3,R,3,1,5,5,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,4,L,3,1,4,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,4,R,3,1,5,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,5,L,3,1,4,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,5,R,3,2,5,10,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,6,L,2,1,4,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,6,R,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,7,L,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,7,R,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,8,L,2,2,1,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,8,R,3,1,5,5,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,9,L,3,1,3,8,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,9,R,3,1,5,8,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,10,L,3,2,5,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,10,R,3,2,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,11,L,3,1,1,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,11,R,3,2,5,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,1,L,2,1,2,10,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,1,R,3,1,2,1,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,2,L,2,1,2,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,2,R,2,1,1,2,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,3,L,3,1,3,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,3,R,2,1,1,2,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,4,L,2,2,3,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,4,R,3,2,5,2,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,5,L,3,2,2,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,5,R,3,2,5,8,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,6,L,3,2,4,10,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,6,R,3,2,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,7,L,2,2,3,10,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,7,R,3,2,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,8,L,2,3,2,2,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,8,R,3,2,5,1,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,9,L,2,4,2,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,9,R,3,3,5,1,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,10,L,2,4,2,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,10,R,3,3,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,11,L,2,4,2,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,11,R,3,2,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,1,L,2,1,1,8,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,1,R,1,2,1,2,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,2,L,1,2,1,10,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,2,R,2,1,2,5,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,3,L,2,2,3,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,3,R,3,2,2,5,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,4,L,3,1,3,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,4,R,2,1,2,2,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,5,L,2,2,2,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,5,R,3,2,2,2,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,6,L,2,2,4,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,6,R,2,1,2,2,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,7,L,2,2,2,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,7,R,1,1,1,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,8,L,2,2,1,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,8,R,3,2,3,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,9,L,2,2,2,10,1,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,9,R,1,1,1,2,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,10,L,2,2,2,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,10,R,1,3,1,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,11,L,2,1,2,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,11,R,3,2,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,1,L,1,4,2,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,1,R,3,2,5,1,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,2,L,1,1,3,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,2,R,2,2,5,1,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,3,L,2,2,2,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,3,R,3,2,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,4,L,1,1,2,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,4,R,1,1,2,2,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,5,L,1,1,2,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,5,R,1,2,1,2,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,6,L,2,1,1,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,6,R,1,1,2,2,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,7,L,3,2,4,1,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,7,R,1,1,1,10,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,8,L,3,2,4,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,8,R,2,1,2,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,9,L,2,1,3,1,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,9,R,2,1,3,10,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,10,L,2,1,3,10,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,10,R,3,1,3,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,11,L,1,1,1,2,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT03,BUFFRMFISH2006MAY22,main,11,R,3,1,3,2,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,1,L,3,2,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,1,R,2,1,5,10,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,2,L,3,2,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,2,R,2,1,5,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,3,L,3,2,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,3,R,2,1,5,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,4,L,3,2,5,2,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,4,R,2,1,3,10,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,5,L,3,2,5,2,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,5,R,2,1,2,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,6,L,3,1,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,6,R,3,1,4,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,7,L,3,1,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,7,R,3,1,4,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,8,L,3,2,5,1,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,8,R,3,1,3,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,9,L,3,2,5,1,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,9,R,3,2,3,10,1,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,10,L,3,3,5,1,0,1,0,1,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,10,R,2,3,2,10,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,11,L,3,2,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT09,BUFFRMFISH2006MAY30,main,11,R,2,3,1,10,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,1,L,3,2,5,8,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,1,R,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,2,L,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,2,R,3,1,5,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,3,L,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,3,R,3,2,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,4,L,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,4,R,3,2,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,5,L,3,2,5,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,5,R,3,2,5,1,1,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,6,L,2,1,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,6,R,3,1,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,7,L,3,2,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,7,R,3,1,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,8,L,3,1,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,8,R,3,1,5,1,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,9,L,3,1,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,9,R,3,1,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,10,L,3,1,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,10,R,3,1,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,11,L,3,1,5,5,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT22,BUFFRMFISH2006MAY25,main,11,R,3,1,5,1,0,1,0,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,1,L,3,2,5,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,1,R,3,2,5,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,2,L,3,2,5,5,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,2,R,3,2,5,5,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,3,L,3,3,4,5,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,3,R,3,3,5,2,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,4,L,3,1,4,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,4,R,3,3,5,2,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,5,L,3,1,5,5,0,1,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,5,R,3,2,4,5,0,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,6,L,3,3,5,5,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,6,R,2,2,3,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,7,L,2,1,3,5,0,0,1,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,7,R,3,2,2,5,0,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,8,L,3,3,4,5,1,0,1,0,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,8,R,2,2,2,5,0,0,0,1,0,,12/3/2018
2006,BUFFRMFISHBT24,BUFFRMFISH2006MAY24,main,9,L,3,2,4,5,0,0,1,1,0,,12/3/2018
