Season,LocationID,EventID,ChannelType,TransectNumber,SampleLocation,ChannelUnit,PoolForm,Width_m,Depth_cm,Velocity_ms,DomSubstrate,DomSubstrateMidpoint,Embeddedness,EmbeddednessMidpoint,CanopyCover,CanopyCoverMidpoint,Comment,DETimeStamp
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,8,R,PO,M,28,150,0,15,54.5,2,25,1,5,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,9,L,PO,M,30,96,0.01,6,1.5,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,9,M,PO,M,30,120,0.02,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,9,R,PO,M,30,150,0.029999999,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,10,L,PO,M,30,75,0.029999999,6,1.5,4,87.5,1,5,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,10,M,PO,M,30,76,0.02,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,10,R,PO,M,30,122,0.029999999,9,6.85,3,57.5,2,25,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,11,L,PO,M,33,40,0.050000001,5,0.75,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,11,M,PO,M,33,40,0.02,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,main,11,R,PO,M,33,85,0.029999999,15,54.5,2,25,2,25,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,1,L,GL,N/A,40,35,0.360000014,12,19.3,3,57.5,1,5,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,1,M,GL,N/A,40,18,0.050000001,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,1,R,GL,N/A,40,16,0.01,16,77,2,25,1,5,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,2,L,PGX,M,38,27,0,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,2,M,PGX,M,38,29,0.039999999,14,38.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,2,R,PGX,M,38,61,0.109999999,16,77,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,3,L,GL,N/A,33,50,0.050000001,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,3,M,GL,N/A,33,43,0.079999998,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,3,R,GL,N/A,33,36,0.050000001,15,54.5,2,25,1,5,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,4,L,PO,L,32,47,0.02,7,3,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,4,M,PO,L,32,54,0.039999999,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,4,R,PO,L,32,108,0,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,5,L,PO,L,29,100,0,6,1.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,5,M,PO,L,29,78,0,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,5,R,PO,L,29,110,0.050000001,24,10000,0,0,1,5,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,6,L,PO,M,22,106,0,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,6,M,PO,M,22,96,0.029999999,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,6,R,PO,M,22,90,0.02,24,10000,0,0,1,5,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,7,L,GL,N/A,30,20,0.01,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,7,M,GL,N/A,30,26,0.189999998,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,7,R,GL,N/A,30,44,0.140000001,11,13.65,3,57.5,2,25,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,8,L,PO,M,33,270,,,,,,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,8,M,PO,M,33,230,,,,,,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,8,R,PO,M,33,160,0.01,4,0.375,4,87.5,4,87.5,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,9,L,PO,F,26,230,,,,,,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,9,M,PO,F,26,90,0.02,10,9.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,9,R,PO,F,26,74,0.02,10,9.65,3,57.5,2,25,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,10,L,PO,F,21,230,,,,,,2,25,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,10,M,PO,F,21,196,0.07,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,10,R,PO,F,21,44,0.02,12,19.3,3,57.5,2,25,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,11,L,GL,N/A,26,66,0.119999997,15,54.5,2,25,2,25,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,11,M,GL,N/A,26,50,0.129999995,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM02,BUFFRMFISH2006MAY30,main,11,R,GL,N/A,26,28,0.059999999,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,1,L,RG,N/A,44,9,0,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,1,M,RG,N/A,44,19,0.100000001,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,1,R,RG,N/A,44,20,0.560000002,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,2,L,PO,M,52,47,0.059999999,14,38.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,2,M,PO,M,52,75,0.059999999,16,77,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,2,R,PO,M,52,68,0.050000001,7,3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,3,L,PO,M,53,130,0.01,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,3,M,PO,M,53,76,0.100000001,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,3,R,PO,M,53,31,0.050000001,11,13.65,3,57.5,1,5,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,4,L,PO,L,33,116,0.02,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,4,M,PO,L,33,154,0.02,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,4,R,PO,L,33,78,0.150000006,14,38.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,5,L,PO,L,29,123,0.039999999,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,5,M,PO,L,29,122,0.07,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,5,R,PO,L,29,100,0.059999999,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,6,L,PO,L,55,110,0.050000001,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,6,M,PO,L,55,86,0.07,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,6,R,PO,L,55,10,0,10,9.65,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,7,L,PO,M,32,89,0.039999999,21,437,1,5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,7,M,PO,M,32,130,0.090000004,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,7,R,PO,M,32,96,0.029999999,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,8,L,PO,L,37,152,0.079999998,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,8,M,PO,L,37,154,0,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,8,R,PO,L,37,190,0,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,9,L,PO,L,37,120,0.039999999,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,9,M,PO,L,37,120,0.310000002,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,9,R,PO,L,37,61,0.090000004,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,10,L,RRX,N/A,38,66,0.01,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,10,M,RRX,N/A,38,80,0.050000001,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,10,R,RRX,N/A,38,76,0.109999999,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,11,L,RI,N/A,11,42,0.670000017,24,10000,0,0,1,5,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,11,M,RI,N/A,11,24,0.709999979,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM03,BUFFRMFISH2006JUN01,main,11,R,RI,N/A,11,38,0.5,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,1,L,RI,N/A,19,22,0.779999971,16,77,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,1,M,RI,N/A,19,30,0.769999981,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,1,R,RI,N/A,19,35,0.810000002,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,2,L,RRX,N/A,25,44,0.439999998,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,2,M,RRX,N/A,25,50,0.439999998,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,2,R,RRX,N/A,25,30,0.289999992,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,3,L,PGX,L,38,65,0.050000001,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,3,M,PGX,L,38,50,0.170000002,15,54.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,3,R,PGX,L,38,54,0.300000012,16,77,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,4,L,PO,M,59,47,0.079999998,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,4,M,PO,M,59,47,0.059999999,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,4,R,PO,M,59,92,0.119999997,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,5,L,PO,M,45,56,0.07,6,1.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,5,M,PO,M,45,71,0.100000001,10,9.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,5,R,PO,M,45,100,0.100000001,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,6,L,GL,N/A,61,41,0.100000001,8,4.85,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,6,M,GL,N/A,61,54,0.150000006,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,6,R,GL,N/A,61,79,0.079999998,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,7,L,GL,N/A,60,40,0.209999993,14,38.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,7,M,GL,N/A,60,36,0.180000007,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,7,R,GL,N/A,60,57,0.119999997,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,8,L,GL,N/A,58,74,0.059999999,16,77,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,8,M,GL,N/A,58,70,0.119999997,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,8,R,GL,N/A,58,42,0.090000004,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,9,L,PO,M,57,104,0.079999998,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,9,M,PO,M,57,87,0.090000004,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,9,R,PO,M,57,63,0,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,10,L,PO,M,60,105,0.159999996,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,10,M,PO,M,60,86,0.059999999,6,1.5,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,10,R,PO,M,60,44,0,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,11,L,PGX,M,67,64,0.029999999,4,0.375,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,11,M,PGX,M,67,46,-0.01,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM04,BUFFRMFISH2006JUN02,main,11,R,PGX,M,67,60,0.379999995,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,1,L,RI,N/A,33,20,0.680000007,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,1,M,RI,N/A,33,20,0.800000012,12,19.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,1,R,RI,N/A,33,16,0,13,27.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,2,L,GL,N/A,35,29,0.349999994,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,2,M,GL,N/A,35,40,0.400000006,12,19.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,2,R,GL,N/A,35,30,0.330000013,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,3,L,GL,N/A,26,50,0.389999986,12,19.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,3,M,GL,N/A,26,52,0.360000014,13,27.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,3,R,GL,N/A,26,27,0.289999992,12,19.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,4,L,PGX,N/A,32,90,0.180000007,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,4,M,PGX,N/A,32,70,0.189999998,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,4,R,PGX,N/A,32,42,0.140000001,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,5,L,PO,M,40,74,0.109999999,12,19.3,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,5,M,PO,M,40,98,0.129999995,10,9.65,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,5,R,PO,M,40,86,0.090000004,15,54.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,6,L,PO,M,39,97,0.039999999,15,54.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,6,M,PO,M,39,108,0.140000001,8,4.85,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,6,R,PO,M,39,64,0.109999999,12,19.3,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,7,L,PO,M,38,36,0.119999997,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,7,M,PO,M,38,74,0.090000004,14,38.5,2,25,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,7,R,PO,M,38,90,0.079999998,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,8,L,PO,M,31,102,0.100000001,4,0.375,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,8,M,PO,M,31,120,0.159999996,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,8,R,PO,M,31,104,0.119999997,24,10000,0,0,1,5,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,9,L,PO,M,26,103,0.119999997,9,6.85,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,9,M,PO,M,26,108,0.189999998,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,9,R,PO,M,26,102,0.100000001,24,10000,0,0,1,5,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,10,L,RU,N/A,24,74,0.170000002,11,13.65,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,10,M,RU,N/A,24,94,0.170000002,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,10,R,RU,N/A,24,69,0.140000001,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,11,L,RU,N/A,23,90,0.140000001,15,54.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,11,M,RU,N/A,23,84,0.340000004,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM05,BUFFRMFISH2006JUN12,main,11,R,RU,N/A,23,55,0.310000002,24,10000,0,0,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,1,L,RU,N/A,37,62,0.389999986,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,1,M,RU,N/A,37,76,0.479999989,12,19.3,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,1,R,RU,N/A,37,58,0.379999995,10,9.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,2,L,GL,N/A,54,34,0.5,11,13.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,2,M,GL,N/A,54,35,0.379999995,14,38.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,2,R,GL,N/A,54,94,0.280000001,16,77,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,3,L,GL,N/A,67,40,0.159999996,7,3,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,3,M,GL,N/A,67,48,0.189999998,8,4.85,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,3,R,GL,N/A,67,80,0.239999995,11,13.65,4,87.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,4,L,GL,N/A,58,61,0.159999996,6,1.5,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,4,M,GL,N/A,58,73,0.180000007,10,9.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,4,R,GL,N/A,58,77,0.189999998,,,,,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,5,L,RU,N/A,53,51,0.170000002,9,6.85,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,5,M,RU,N/A,53,71,0.230000004,10,9.65,3,57.5,0,0,,12/3/2018
2006,BUFFRMFISHBM06,BUFFRMFISH2006JUN05,main,5,R,RU,N/A,53,99,0.239999995,18,154,3,57.5,0,0,,12/3/2018
