Season,LocationID,EventID,SamplingGear,ChannelType,CommonName,ScientificName,FederalProtectionStatusCode,IMD_LevelOfProtection,TaxonCode,TaxaFishNumber,TotalLength_mm,Weight_g,AnomalyID,Vouchered,NumObs,BatchID,BatchWT_g,Comments,FlaggedData_YN,OpsReviewFlaggedData_Comment,DETimeStamp
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,6.00,50.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,7.00,121.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,8.00,54.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,9.00,58.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,10.00,78.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,11.00,53.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,12.00,54.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,13.00,44.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,14.00,36.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,15.00,48.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,16.00,39.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,17.00,53.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Northern studfish,Fundulus catenatus,NFP,NP,funcat,18.00,108.00,,N,0.00,1.00,1.00,67.00,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,1.00,57.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,2.00,47.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,3.00,48.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,4.00,51.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,5.00,43.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,6.00,43.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,7.00,43.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,8.00,47.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,9.00,53.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,10.00,52.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,11.00,37.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,12.00,38.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,13.00,52.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,14.00,48.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,15.00,38.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,16.00,42.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,17.00,54.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,18.00,60.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,19.00,45.00,,N,0.00,1.00,1.00,21.00,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,20.00,38.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,21.00,50.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,22.00,45.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,23.00,41.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,24.00,38.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,25.00,43.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,26.00,39.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,27.00,42.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,28.00,48.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,29.00,41.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,30.00,33.00,,N,-1.00,1.00,2.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Orangethroat darter,Etheostoma spectabile,NFP,NP,ethspe,31.00,36.00,,N,-1.00,1.00,2.00,8.00,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Ozark minnow,Notropis nubilus,NFP,NP,notnub,1.00,,,N,0.00,5.00,0.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Rainbow darter,Etheostoma caeruleum,NFP,NP,ethcae,1.00,,,N,0.00,41.00,0.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Rainbow darter,Etheostoma caeruleum,NFP,NP,ethcae,2.00,,,N,-1.00,24.00,0.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Slender madtom,Noturus exilis,NFP,NP,notexi,1.00,76.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Slender madtom,Noturus exilis,NFP,NP,notexi,2.00,57.00,,N,0.00,1.00,1.00,4.00,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,1.00,46.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,2.00,66.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,3.00,63.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,4.00,59.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,5.00,49.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,6.00,67.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,7.00,60.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,8.00,48.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,9.00,48.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,10.00,40.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Southern redbelly dace,Chrosomus erythrogaster,NFP,NP,chrery,11.00,47.00,,N,0.00,1.00,1.00,18.00,,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Stoneroller spp.,Campostoma spp.,NFP,NP,camspp,1.00,,,N,0.00,36.00,0.00,,,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,backwater_side,Stoneroller spp.,Campostoma spp.,NFP,NP,camspp,2.00,,,N,-1.00,8.00,0.00,,Preserved,FALSE,,12/21/2012 15:43
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,1.00,84.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,2.00,94.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,3.00,67.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,4.00,67.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,5.00,78.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,6.00,64.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,7.00,74.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,8.00,78.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,9.00,62.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,10.00,50.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,11.00,79.00,,N,0.00,1.00,1.00,49.00,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,12.00,63.00,,N,0.00,1.00,2.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,13.00,62.00,,N,0.00,1.00,2.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,14.00,71.00,,N,0.00,1.00,2.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,15.00,68.00,,N,0.00,1.00,2.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,16.00,67.00,,N,0.00,1.00,2.00,15.00,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,17.00,81.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,18.00,62.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,19.00,28.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,20.00,79.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,21.00,60.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,22.00,54.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,23.00,65.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,24.00,64.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,25.00,63.00,,N,0.00,1.00,3.00,,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,26.00,58.00,,N,0.00,1.00,3.00,26.00,,FALSE,,12/21/2012 15:40
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Autumn darter,Etheostoma autmnale,NFP,NP,ethaut,27.00,,,N,-1.00,1.00,0.00,,Preserved,FALSE,,12/21/2012 15:42
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,1.00,102.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,2.00,88.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,3.00,82.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,4.00,87.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,5.00,90.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,6.00,83.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
2006.00,BUFFRMFISHBM01,BUFFRMFISH2006MAY23,backpack,main,Banded sculpin,Cottus carolinae,NFP,NP,cotcar,7.00,40.00,,N,0.00,1.00,1.00,,,FALSE,,12/21/2012 15:38
